"gene1","gene2","p.value","q.value"
"LATS2","KRAS",3.90754587291372e-06,9.01870037554916e-05
"CTNNB1","PLXNB2",4.04802314264097e-06,9.31159519645327e-05
"CREBBP","CTNNB1",4.04802314264097e-06,9.31159519645327e-05
"FOXA2","PIK3R1",4.06820793179993e-06,9.34643744784375e-05
"BRCA1","KRAS",4.10620893911069e-06,9.4065084492796e-05
"PAX5","KRAS",4.17310489414033e-06,9.66873524038387e-05
"PPP2R1A","KIT",4.19917291289874e-06,9.67643940035789e-05
"FBXW7","ARID5B",4.21695902222427e-06,9.67643940035789e-05
"RPL22","NFE2L2",4.28281871229822e-06,9.86294454934803e-05
"PPP2R1A","ACVR2A",4.30567806247027e-06,9.89857814625724e-05
"ARHGAP35","FGFR2",4.4213027882601e-06,0.000101650494819578
"RPS6KA3","TP53",4.44795376063738e-06,0.000101792813371892
"PIK3R1","KMT2D",4.49542434797851e-06,0.000102982833591111
